seg_id,n_points,mean_p_impaired,p75_p_impaired,worst_p_impaired,health_score,health_score_worst_reach,dominant_class,method
SEG_b725c01b56,1,0.735556805399325,0.735556805399325,0.735556805399325,0.264443194600675,0.264443194600675,suspect_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_7d8cdc855a,3,0.7315560554930634,0.7544094488188976,0.8213273340832395,0.26844394450693665,0.2455905511811024,suspect_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_245e654e2b,12,0.6763310836145483,0.7454471316085489,0.7981552305961754,0.3236689163854517,0.2545528683914511,suspect_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_4a381855da,1,0.6516535433070865,0.6516535433070865,0.6516535433070865,0.34834645669291353,0.34834645669291353,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_676f5e6c59,8,0.650306524184477,0.75785151856018,0.8024409448818898,0.349693475815523,0.24214848143982004,suspect_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_4efd93f3d4,13,0.6440174785844076,0.7333970753655793,0.7956242969628795,0.3559825214155924,0.2666029246344207,suspect_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_62ceafc79e,62,0.6368663594470046,0.7600787401574803,0.8482564679415073,0.36313364055299535,0.23992125984251966,suspect_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_33102de134,1,0.6366254218222722,0.6366254218222722,0.6366254218222722,0.3633745781777278,0.3633745781777278,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_db1aa2c849,4,0.6185826771653543,0.6853374578177727,0.7635770528683914,0.3814173228346457,0.31466254218222733,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_4e13a81883,4,0.6080821147356581,0.6799943757030371,0.8280539932508436,0.3919178852643419,0.3200056242969629,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_a6bc0c4e9c,199,0.6074032705710781,0.7008998875140608,0.9188413948256466,0.3925967294289219,0.29910011248593915,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_9ec66d4821,3,0.6055905511811024,0.6588582677165354,0.6683802024746907,0.3944094488188976,0.34114173228346456,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_d4fa472aa0,4,0.6029471316085488,0.6500224971878515,0.6996287964004498,0.39705286839145115,0.34997750281214846,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_7559bd1f09,4,0.5988638920134983,0.616355455568054,0.826962879640045,0.4011361079865017,0.38364454443194596,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_53d2cec6c9,13,0.5964246776845201,0.6516647919010123,0.7234195725534307,0.4035753223154799,0.34833520809898766,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_56d8344781,21,0.5883475279875731,0.6455905511811023,0.7423959505061868,0.41165247201242694,0.3544094488188977,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_df5efb5e5b,5,0.5879662542182228,0.6532058492688414,0.8752193475815523,0.4120337457817772,0.3467941507311586,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_ce0fc58284,91,0.5839407162016835,0.7629752530933633,0.8973340832395951,0.41605928379831647,0.23702474690663666,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_667af746c7,5,0.5817637795275591,0.6403487064116985,0.6405736782902137,0.4182362204724409,0.3596512935883015,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_a341d173d1,1,0.5815523059617548,0.5815523059617548,0.5815523059617548,0.4184476940382452,0.4184476940382452,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_a4fd2a6d81,56,0.5797927044833681,0.6831158605174353,0.8252193475815524,0.42020729551663194,0.31688413948256466,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_3e35ae4113,133,0.5796429205747777,0.6847581552305961,0.8648256467941507,0.42035707942522227,0.31524184476940387,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_4c9954ccf1,12,0.5741844769403824,0.612921822272216,0.6719685039370079,0.42581552305961756,0.38707817772778397,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_353f0ceeb7,21,0.5716305104719053,0.6703149606299212,0.7334533183352081,0.4283694895280947,0.32968503937007876,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
SEG_f110ca6aa1,8,0.5689820022497187,0.6949409448818897,0.7767491563554555,0.43101799775028127,0.30505905511811027,ok_provisional,PROVISIONAL_HEURISTIC_NOT_VALIDATED
